,Date,Tour,Code département,département,Blancs et nuls,Exprimés,Inscrits,Votants,Abstention,Votants (%),Abstention (%),Année
126,1965-12-19,2.0,42,LOIRE,4789.0,372698.0,438227.0,377487.0,60740.0,86.14,13.86,1965
127,1965-12-19,2.0,43,HAUTE-LOIRE,1483.0,129826.0,152282.0,131309.0,20973.0,86.23,13.77,1965
128,1965-12-19,2.0,44,LOIRE-ATLANTIQUE,5658.0,452186.0,521519.0,457844.0,63675.0,87.79,12.21,1965
129,1965-12-19,2.0,45,LOIRET,3240.0,221297.0,250265.0,224537.0,25728.0,89.72,10.28,1965
130,1965-12-19,2.0,46,LOT,1543.0,105591.0,120091.0,107134.0,12957.0,89.21,10.79,1965
131,1965-12-19,2.0,47,LOT-ET-GARONNE,2627.0,126822.0,144858.0,129449.0,15409.0,89.36,10.64,1965
132,1965-12-19,2.0,48,LOZERE,824.0,65372.0,77096.0,66196.0,10900.0,85.86,14.14,1965
133,1965-12-19,2.0,49,MAINE-ET-LOIRE,4321.0,311036.0,357381.0,315357.0,42024.0,88.24,11.76,1965
134,1965-12-19,2.0,5,HAUTES-ALPES,817.0,54302.0,62509.0,55119.0,7390.0,88.18,11.82,1965
135,1965-12-19,2.0,50,MANCHE,3137.0,256873.0,296321.0,260010.0,36311.0,87.75,12.25,1965
136,1965-12-19,2.0,51,MARNE,3009.0,239233.0,276466.0,242242.0,34224.0,87.62,12.38,1965
137,1965-12-19,2.0,52,HAUTE-MARNE,1543.0,105122.0,120309.0,106665.0,13644.0,88.66,11.34,1965
138,1965-12-19,2.0,53,MAYENNE,1953.0,144870.0,166256.0,146823.0,19433.0,88.31,11.69,1965
139,1965-12-19,2.0,54,MEURTHE-ET-MOSELLE,3770.0,339180.0,391505.0,342950.0,48555.0,87.6,12.4,1965
140,1965-12-19,2.0,55,MEUSE,989.0,108865.0,124780.0,109854.0,14926.0,88.04,11.96,1965
141,1965-12-19,2.0,56,MORBIHAN,2888.0,319328.0,369398.0,322216.0,47182.0,87.23,12.77,1965
142,1965-12-19,2.0,57,MOSELLE,5597.0,424521.0,491172.0,430118.0,61054.0,87.57,12.43,1965
143,1965-12-19,2.0,58,NIEVRE,1574.0,128079.0,146463.0,129653.0,16810.0,88.52,11.48,1965
144,1965-12-19,2.0,59,NORD,16020.0,1230812.0,1386710.0,1246832.0,139878.0,89.91,10.09,1965
145,1965-12-19,2.0,6,ALPES-MARITIMES,5279.0,401261.0,462380.0,406540.0,55840.0,87.92,12.08,1965
146,1965-12-19,2.0,60,OISE,3920.0,279709.0,318126.0,283629.0,34497.0,89.16,10.84,1965
147,1965-12-19,2.0,61,ORNE,1940.0,165648.0,185591.0,167588.0,18003.0,90.3,9.7,1965
148,1965-12-19,2.0,62,PAS-DE-CALAIS,8954.0,728115.0,816382.0,737069.0,79313.0,90.28,9.72,1965
149,1965-12-19,2.0,63,PUY-DE-DOME,3460.0,310184.0,354408.0,313644.0,40764.0,88.5,11.5,1965
150,1965-12-19,2.0,64,PYRENEES-ATLANTIQUES,3400.0,250621.0,291212.0,254021.0,37191.0,87.23,12.77,1965
151,1965-12-19,2.0,65,HAUTES-PYRENEES,2107.0,151769.0,178527.0,153876.0,24651.0,86.19,13.81,1965
152,1965-12-19,2.0,66,PYRENEES-ORIENTALES,1407.0,105148.0,124286.0,106555.0,17731.0,85.73,14.27,1965
153,1965-12-19,2.0,67,BAS-RHIN,6684.0,433096.0,511355.0,439780.0,71575.0,86.0,14.0,1965
