product-company-id,product-id,gtin,label,company-id,internal-reference,cat-id,brand_internal_reference,scraped_brand_name,last_recommended_price,last-original-price,min_price_in_store,max_price_in_store,avg_price_in_store,stddev_price_in_store,discount,creation_date,last-update-date,url,ranking,ratings_stars,rating_count,picture_url,company_stock,avg_stock_in_store,company_presence,company_to_order,company_out_of_stock,company_soon_available,stddev_stock_in_store
0 204 123 1842743,0,3165141172614.0,BOSCH Maître-cylindre de frein,2743,0 204 123 184,,0 204 123 184,BOSCH,160.8,203.55,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=40,398,3,,https://cdn.autodoc.de/thumb?id=1147199&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 1862743,0,3165141136159.0,BOSCH Maître-cylindre de frein,2743,0 204 123 186,,0 204 123 186,BOSCH,118.76,154.24,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=202,2016,3,,https://cdn.autodoc.de/thumb?id=1147200&m=2&n=0&lng=fr&ccf=94077792,,,0,0,0,0,
0 204 123 1902743,0,3165141136197.0,BOSCH Maître-cylindre de frein,2743,0 204 123 190,,,BOSCH,168.53,224.7,,,,,1,2020-04-06,2020-04-06 00:00:00,https://www.auto-doc.fr/bosch/1147202,1120,3,,https://cdn.autodoc.de/thumb?id=1147202&m=2&n=0&lng=fr&ccf=94077774,,,0,0,0,0,
0 204 123 1942743,0,3165141128659.0,BOSCH Maître-cylindre de frein,2743,0 204 123 194,,0 204 123 194,BOSCH,221.5,287.66,,,,,1,2020-05-12,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147203,1870,3,,https://cdn.autodoc.de/thumb?id=1147203&m=2&n=0&lng=fr&ccf=94077792,,,0,0,0,0,
0 204 123 2082743,0,3165141136272.0,BOSCH Maître-cylindre de frein,2743,0 204 123 208,,0 204 123 208,BOSCH,314.0,397.47,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=40,399,3,,https://cdn.autodoc.de/thumb?id=1147207&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 3552743,0,3165143155721.0,BOSCH Maître-cylindre de frein,2743,0 204 123 355,,0 204 123 355,BOSCH,208.92,264.45,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=55,547,3,,https://cdn.autodoc.de/thumb?id=1147230&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 3662743,0,3165141222975.0,BOSCH Maître-cylindre de frein,2743,0 204 123 366,,0 204 123 366,BOSCH,128.79,167.26,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147231,858,5,,https://cdn.autodoc.de/thumb?id=1147231&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 3712743,0,3165143325247.0,BOSCH Maître-cylindre de frein,2743,0 204 123 371,,0 204 123 371,BOSCH,159.11,201.4,,,,,1,2020-04-06,2020-05-17 00:00:00,https://www.auto-doc.fr/search?keyword=ZHBL+24-2%2F12&page=40,400,3,,https://cdn.autodoc.de/thumb?id=1147234&m=2&n=0&lng=fr&ccf=94077793,,,0,0,0,0,
0 204 123 3722743,0,3165143287033.0,BOSCH Maître-cylindre de frein,2743,0 204 123 372,,0 204 123 372,BOSCH,197.83,256.92,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147235,771,3,,https://cdn.autodoc.de/thumb?id=1147235&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
0 204 123 4192743,0,3165143325216.0,BOSCH Maître-cylindre de frein,2743,0 204 123 419,,0 204 123 419,BOSCH,247.99,322.06,,,,,1,2020-04-06,2020-05-12 00:00:00,https://www.auto-doc.fr/bosch/1147246,859,3,,https://cdn.autodoc.de/thumb?id=1147246&m=2&n=0&lng=fr&ccf=94077790,,,0,0,0,0,
